Timestamp,SensorType,Value
2025-05-26T22:46:20.4513511+01:00,Temperature,19,72
2025-05-26T22:46:20.4589017+01:00,Hydrophone,116,2
2025-05-26T22:46:30.4647382+01:00,Temperature,19,67
2025-05-26T22:46:40.4694914+01:00,Temperature,19,76
2025-05-26T22:46:50.4751013+01:00,Temperature,19,73
2025-05-26T22:46:50.4751167+01:00,Hydrophone,115,9
2025-05-26T22:47:00.4898787+01:00,Temperature,19,39
2025-05-26T22:47:10.5052538+01:00,Temperature,19,42
2025-05-26T22:47:21.4682555+01:00,Temperature,21,54
2025-05-26T22:47:21.4777380+01:00,Hydrophone,112,7
2025-05-26T22:47:31.4733129+01:00,Temperature,21,2
2025-05-26T22:47:41.4761553+01:00,Temperature,21,47
2025-05-26T22:47:51.4862260+01:00,Temperature,21,53
2025-05-26T22:47:51.4863134+01:00,Hydrophone,112,2
2025-05-26T22:48:39.4973415+01:00,Temperature,18,96
2025-05-26T22:48:39.5124807+01:00,Hydrophone,129,3
2025-05-26T22:48:49.5131961+01:00,Temperature,18,63
2025-05-26T22:48:59.5273166+01:00,Temperature,18,76
2025-05-26T22:49:09.5205513+01:00,Hydrophone,129,8
2025-05-26T22:49:09.5355722+01:00,Temperature,18,64
2025-05-26T22:49:19.5492528+01:00,Temperature,18,72
2025-05-26T22:49:29.5536455+01:00,Temperature,18,89
2025-05-26T22:49:39.5585113+01:00,Temperature,18,78
2025-05-26T22:49:49.5779610+01:00,Temperature,18,59
2025-05-26T22:49:59.5864701+01:00,Temperature,18,78
2025-05-26T22:50:09.5378108+01:00,Hydrophone,128,6
2025-05-26T22:50:09.6013925+01:00,Temperature,18,99
2025-05-26T22:50:19.6125463+01:00,Temperature,18,94
2025-05-26T22:50:29.6233390+01:00,Temperature,18,92
2025-05-26T22:50:39.5494601+01:00,Hydrophone,128,5
2025-05-26T22:50:39.6295887+01:00,Temperature,18,62
2025-05-26T22:50:49.6352249+01:00,Temperature,18,95
2025-05-26T22:50:59.6520618+01:00,Temperature,18,82
2025-05-26T22:51:09.5513505+01:00,Hydrophone,128,9
2025-05-26T22:51:09.6615344+01:00,Temperature,18,76
2025-05-26T22:51:19.6749340+01:00,Temperature,18,86
2025-05-26T22:51:29.6884488+01:00,Temperature,18,81
2025-05-26T22:51:39.5616776+01:00,Hydrophone,129,2
2025-05-26T22:51:39.7041302+01:00,Temperature,18,77
2025-05-26T22:51:49.7133121+01:00,Temperature,18,9
2025-05-26T22:51:59.7288506+01:00,Temperature,18,71
2025-05-26T22:52:09.5691784+01:00,Hydrophone,128,3
2025-05-26T22:52:09.7436407+01:00,Temperature,18,96
2025-05-26T22:52:19.7582606+01:00,Temperature,18,98
2025-05-26T22:52:29.7775833+01:00,Temperature,18,95
2025-05-26T22:52:39.5842916+01:00,Hydrophone,127,4
2025-05-26T22:52:39.7834985+01:00,Temperature,18,87
2025-05-26T22:52:49.7881258+01:00,Temperature,18,97
2025-05-26T22:52:59.8092628+01:00,Temperature,18,62
2025-05-26T22:53:09.5998031+01:00,Hydrophone,127,1
2025-05-26T22:53:09.8203393+01:00,Temperature,18,94
2025-05-26T22:53:19.8414355+01:00,Temperature,19,1
2025-05-26T22:53:29.8534961+01:00,Temperature,18,93
2025-05-26T22:53:39.6069834+01:00,Hydrophone,127,3
2025-05-26T22:53:39.8752311+01:00,Temperature,18,99
2025-05-26T22:53:49.8916457+01:00,Temperature,18,82
2025-05-26T22:53:59.9078728+01:00,Temperature,18,78
2025-05-26T22:54:09.6311622+01:00,Hydrophone,127,5
2025-05-26T22:54:09.9156008+01:00,Temperature,19,08
2025-05-26T22:54:19.9305285+01:00,Temperature,18,88
2025-05-26T22:54:29.9450246+01:00,Temperature,18,66
2025-05-26T22:54:39.6491513+01:00,Hydrophone,126,5
2025-05-26T22:54:39.9502035+01:00,Temperature,18,78
2025-05-26T22:54:49.9573832+01:00,Temperature,18,86
2025-06-13T01:22:35.7504967+01:00,Hydrophone,126.2
2025-06-13T01:22:36.1913120+01:00,Temperature,12.02
2025-06-13T01:22:36.2073045+01:00,Accelerometer,"X:-0,29,Y:9,34,Z:0,94"
2025-06-13T01:22:36.2073296+01:00,Gyroscope,"X:0,11,Y:-0,17,Z:-0,63"
